Number;Time;Date;Latitude;Longitude;Altitude;Acc_x;Acc_y;Acc_z;Gyr_x;Gyr_y;Gyr_z;Mag_x;Mag_y;Mag_z
848;08:59:46.773559;20.02.2023;49.20643489820806;18.766819764861822;369.74435285679454;0.009994653839494957;0.019391357533303937;-9.81;0.0;0.0;4.574118861455645e-13;-1.4419140016111585;17.49808361046749;37.9036830762804
849;08:59:46.873559;20.02.2023;49.206429203634364;18.76681476899746;369.74435285679454;0.003621461155859873;0.007026261158616813;-9.81;0.0;0.0;-4.884981308350689e-13;-1.4419137083860503;17.4980862426865;37.90367982967626
850;08:59:46.973559;20.02.2023;49.20642347326463;18.766809741730476;369.74435285679454;0.02103715705778795;0.040815724140422976;-9.81;0.0;0.0;3.375077994860476e-13;-1.4419134133178457;17.49808889145172;37.90367656266331
851;08:59:47.073559;20.02.2023;49.206417735527594;18.76680470800152;369.74435285679454;0.004329613716460601;0.008400199637252402;-9.81;0.0;0.0;1.8207657603852567e-13;-1.4419131178703974;17.498091543622404;37.90367329144952
852;08:59:47.173559;20.02.2023;49.20641187623111;18.766799567629597;369.74435285679454;0.07144016972978923;0.1386062884935629;-9.81;0.0;0.0;-4.1300296516055823e-13;-1.4419128161637313;17.49809425198199;37.90366995093134
853;08:59:47.273559;20.02.2023;49.20640591854341;18.766794340940333;369.74435285679454;0.05782422328995855;0.1121889968285186;-9.81;0.0;0.0;-3.9523939676655573e-13;-1.4419125093908303;17.498097005821275;37.90366655431744
854;08:59:47.373559;20.02.2023;49.20639996001259;18.76678911351288;369.74435285679454;0.0004953557783899027;0.0009610759071004253;-9.81;0.0;0.0;8.482103908136196e-13;-1.4419122025746371;17.498099760050362;37.903663157222205
855;08:59:47.473559;20.02.2023;49.20639393453932;18.7667838273582;369.74435285679454;0.03934183115978735;0.07632995862445033;-9.81;0.0;0.0;-2.8421709430404007e-13;-1.4419118923115775;17.49810254522258;37.903659721960885
856;08:59:47.573559;20.02.2023;49.20638800711285;18.766778627221573;369.74435285679454;-0.05762209261693205;-0.1117968283540482;-9.81;0.0;0.0;-2.6645352591003757e-14;-1.4419115870972519;17.498105285074388;37.90365634259766
857;08:59:47.673559;20.02.2023;49.20638182317508;18.76677320204889;369.74435285679454;0.15075112306541216;0.2924832588355426;-9.81;0.0;0.0;6.661338147750939e-14;-1.44191126867481;17.49810814349426;37.90365281699069
858;08:59:47.773559;20.02.2023;49.20637565266136;18.76676778865469;369.74435285679454;-0.007889442172825037;-0.015306882696330614;-9.81;0.0;0.0;-3.9523939676655573e-13;-1.441910950943725;17.498110995709222;37.90364929903643
859;08:59:47.873559;20.02.2023;49.20636950064448;18.76676239148937;369.74435285679454;-0.010870712447213202;-0.021091062791256693;-9.81;0.0;0.0;6.661338147750939e-14;-1.4419106341652128;17.498113839374405;37.90364579162691
860;08:59:47.973559;20.02.2023;49.20636339356804;18.766757033751837;369.74435285679454;-0.026411574749810814;-0.05124302424235484;-9.81;0.0;0.0;3.552713678800501e-13;-1.4419103197008902;17.498116662266735;37.90364230983832
861;08:59:48.073559;20.02.2023;49.20635723259927;18.766751628736152;369.74435285679454;0.03167227594793114;0.061449694673053126;-9.81;0.0;0.0;-2.708944180085382e-13;-1.4419100024616918;17.498119510069962;37.90363879732377
862;08:59:48.173559;20.02.2023;49.20635105330148;18.766746207641994;369.74435285679454;0.010771780066984486;0.02089911685821703;-9.81;0.0;0.0;4.574118861455645e-13;-1.441909684278825;17.498122366345562;37.903635274358656
863;08:59:48.273559;20.02.2023;49.20634479590254;18.766740718031357;369.74435285679454;0.04589975304829054;0.08905346161491176;-9.81;0.0;0.0;-6.883382752675971e-13;-1.4419093620745302;17.498125258722194;37.903631706865525
864;08:59:48.373559;20.02.2023;49.206338483393544;18.76673518007436;369.74435285679454;0.03238791759678715;0.06283816327852433;-9.81;0.0;0.0;4.1744385725905886e-13;-1.4419090370326628;17.498128176572607;37.903628107952144
865;08:59:48.473559;20.02.2023;49.20633210332451;18.76672958284868;369.74435285679454;0.03970475624309921;0.07703409607246249;-9.81;0.0;0.0;-5.10702591327572e-13;-1.4419087085121545;17.49813112565162;37.90362447052035
